structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres10_mean,j0_tres10_std,jumps_tres10_mean,Rct_tres10_mean,j0_tres20_mean,j0_tres20_std,jumps_tres20_mean,Rct_tres20_mean,j0_tres50_mean,j0_tres50_std,jumps_tres50_mean,Rct_tres50_mean,j0_tres100_mean,j0_tres100_std,jumps_tres100_mean,Rct_tres100_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres500_mean,j0_tres500_std,jumps_tres500_mean,Rct_tres500_mean
seed1_420at_Li100_LLZO110_vac1pfu,500.0,5,1094.0,6.24550319526545e-09,1.0917440854268037e-08,4.8505887799268465e-09,9.66040480059276e-09,9.035332025942658e-09,1.3859126860525824e-08,0.10907922965016703,0.17265831418828462,1.122796877987079,0.6390573030370728,3.769425844997045,0.8400229023641912,31.0,0.7071067811865476,0.3643101575001563,0.4689645469655834,0.004953959446786801,0.04669175723690465,-0.04587979384404844,0.24419317400022164,0.6813712224925456,0.389668288450071,2.6124807049957178e+22,6.283061172597537e+20,93710.40576230246,30695.680658032594,13.8,4.5978529235365636e-07,88296.976487137,26618.96127585893,13.0,4.879744247672718e-07,88296.976487137,26618.96127585893,13.0,4.879744247672718e-07,82856.15131483001,24964.58812141331,12.2,5.200177129430356e-07,65207.714376259224,13170.9625551041,9.6,6.607602600726481e-07,47518.18359197614,17878.929582529046,7.0,9.067406001873261e-07,nan,nan,0.0,inf
seed1_420at_Li100_LLZO110_vac1pfu,600.0,5,954.0,5.7121234779537075e-08,4.2979123261053695e-08,5.125338508749397e-08,4.37714641018884e-08,6.885693416362326e-08,4.375071894623092e-08,0.46916968479761856,0.16788387109491906,4.417463872538913,2.579342613534599,1.9344412984068349,0.5096204712380316,31.2,0.8366600265340756,1.0130364139320123,0.6673690797652796,0.08072486748011462,0.15339523844931938,-0.8369375937057351,0.8824883997567424,1.5085952906964977,1.1369398276756393,2.588462859762961e+22,4.295803997718298e+20,230944.79862333927,66300.97041214466,29.2,2.238803379864248e-07,213554.51123423697,67041.1926339434,27.0,2.4211148372926924e-07,188311.863079133,70021.85459680716,23.8,2.745658118749151e-07,155068.34615299673,69276.76285909546,19.6,3.3342716843698545e-07,120287.77137479212,47443.28590014617,15.2,4.2983587592541643e-07,79117.63968013888,22449.06397005193,10.0,6.535078622293557e-07,nan,nan,0.0,inf
seed1_420at_Li100_LLZO110_vac1pfu,700.0,5,954.0,9.158348836103321e-08,6.48604925027105e-08,8.453287130139254e-08,6.825786665913275e-08,1.0568472248031451e-07,6.953205565716922e-08,0.5029960297892984,0.2996084138167657,6.632721927393088,4.064722926250022,1.8499409494668193,1.102055731533167,30.8,1.3038404810405297,1.3983731362144443,1.1682068960747807,0.01770978363411325,0.07623716121526468,-0.6889148284557332,0.6162651250038819,0.9768793744326502,0.1822282869442126,2.538503016646906e+22,5.410684202195344e+20,480816.9424878492,96856.26167815395,60.8,1.254559220020089e-07,449277.55491944094,93326.72543528539,56.8,1.342629565476871e-07,401792.1203108545,85630.96999953697,50.8,1.5013070138690423e-07,324397.1734890725,91450.13302997632,41.0,1.8594900869576154e-07,229426.30427189972,47315.50821403946,29.0,2.6292247972800647e-07,137640.93176263673,12586.639340320206,17.4,4.3825141301734855e-07,nan,nan,0.0,inf
seed1_420at_Li100_LLZO110_vac1pfu,800.0,5,954.0,2.470030213605026e-07,1.0647506385407517e-07,2.435565578538526e-07,9.25772372409577e-08,2.5389594837380266e-07,1.599893717417626e-07,0.7388143172006264,0.11244124901708584,16.55803477960398,6.264431560474462,0.9597559315111527,0.22075045722694414,31.0,0.7071067811865476,3.240299424865941,0.36179054532212673,0.02277194984474346,0.11738342999443224,-0.2523649733590472,1.174939145342214,1.573632622952959,0.43751605016985123,2.5346049883058647e+22,5.987256948328004e+20,811139.5853776492,87431.82523497957,102.6,8.498989241648666e-08,722576.8365775539,56336.47121467446,91.4,9.540669255677259e-08,603900.3770573455,71285.04685672141,76.4,1.141556930828902e-07,432904.5473647994,104798.06426660896,54.8,1.5924680513440497e-07,251242.13021091875,75573.78303049688,31.8,2.743913452657232e-07,150085.90258421467,47863.710425712576,19.0,4.593280575257082e-07,nan,nan,0.0,inf
seed2_536at_LLZO100ct_vac0p5pfu,500.0,5,1100.0,1.1566855024958956e-09,2.594713717418524e-09,6.756648993056844e-10,1.6016454730119983e-09,2.1187267088763283e-09,4.5820213461090585e-09,0.03169256985431354,0.0709645887712067,1.0680343010024411,0.36682761242289197,3.6799231275985393,0.49648346705673496,44.6,3.0495901363953815,1.3283764311637973,1.4702341999170037,-0.04642465816988466,0.18459949068644044,-0.22527567458795877,0.3789443474695364,0.37254551552701154,0.07618932802553079,2.4246148086820556e+22,1.2189714102687616e+21,133437.57689684647,38127.07068818268,28.0,3.228975473925761e-07,122962.26293031711,34768.121614296935,25.8,3.5040560642916335e-07,111503.64493979988,35522.501119575514,23.4,3.8641486861942694e-07,101018.8579094556,28538.72411429109,21.2,4.26521019952721e-07,79103.87208003884,21802.26985004296,16.6,5.446846681083332e-07,67664.20021715143,14883.456122898691,14.2,6.36771973535844e-07,28362.353061845686,0.0,1.2,1.5191499173586597e-06
seed2_536at_LLZO100ct_vac0p5pfu,600.0,5,960.0,4.153456234137795e-09,6.14407178887483e-09,3.468485814647986e-09,5.7207740878962346e-09,5.5233970731174185e-09,7.187405622302564e-09,0.08115574656164005,0.11201120878995406,1.5251201961545493,0.5630417110524017,3.1095924428523647,0.5171477417736161,43.4,1.51657508881031,1.3096420610734303,1.2247519943309046,-0.08736162322508167,0.27549219767529876,-1.143848311401738,0.9836099454161092,0.4153961769706106,0.034087335438800645,2.3909394419607778e+22,8.896608879042412e+20,310239.22850640595,63580.00733818923,56.0,1.666584842314111e-07,294715.11087291565,54281.7170076473,53.2,1.7543721941795963e-07,263718.05964033504,59804.575495062585,47.6,1.9605786438181424e-07,209486.01599191886,37243.41381249517,37.8,2.4681360866586217e-07,157372.9913676586,20806.683000393325,28.4,3.2854430180594247e-07,106357.86428127633,6787.883956725172,19.2,4.86132360041214e-07,nan,nan,0.0,inf
seed2_536at_LLZO100ct_vac0p5pfu,700.0,5,960.0,2.0867738091425138e-08,2.031199048197791e-08,1.8035422362419873e-08,1.9783126096989884e-08,2.653236954943567e-08,3.6687472511329406e-08,0.23785002798142701,0.18462723167574127,3.509730259621487,2.3153808959760718,2.2768145436429443,0.7899663722486776,44.4,3.286335345030997,1.164610155507452,0.6999105888064906,0.01066446969805566,0.16065266620369248,-1.1443880755578775,0.6296999943511097,0.552455986230853,0.09198596193049802,2.398082401699336e+22,1.4759038289756212e+21,535454.0982694146,72403.01197177506,96.6,1.126545357089586e-07,505516.55654891196,67981.37886639757,91.2,1.1932612701313873e-07,439079.6798978392,71693.01262810381,79.2,1.3738128999282084e-07,307137.4760217719,67273.91698781699,55.4,1.9639847802136667e-07,210622.30155559667,45671.38009817596,38.0,2.863957538612185e-07,134137.99895182313,25866.57734940803,24.2,4.4969608392372806e-07,nan,nan,0.0,inf
seed2_536at_LLZO100ct_vac0p5pfu,800.0,5,958.0,1.5524621348601588e-07,4.198416957384014e-08,1.4886004826010173e-07,5.021575169478589e-08,1.680185439378442e-07,4.0276227531645476e-08,0.6640978044923493,0.05076808349206517,15.580686500066506,3.4226202910204315,0.9495203768562093,0.09352286185691977,44.4,1.51657508881031,0.3761198566873722,0.5900632095306584,-0.014710347616016006,0.17999279914031296,-0.5511970233361201,0.7499284732267136,0.6763115097941373,0.08304708398243156,2.4530220498901914e+22,7.253828771769292e+20,966303.3854357495,155248.97588209764,174.0,7.134267263786152e-08,844127.0953231836,131301.64185862883,152.0,8.166858578281515e-08,676412.3698050247,103180.97950028851,121.8,1.0191810376837358e-07,449830.8863235386,66987.80531453004,81.0,1.5325463011096175e-07,273230.61243355676,24648.889953452068,49.2,2.5230945201194924e-07,156607.7900533801,28153.39764691875,28.2,4.401994694676561e-07,nan,nan,0.0,inf
seed3_792at_LLZO110ct_vac1pfu,500.0,5,1106.0,8.611201325814361e-09,1.289876953357432e-08,7.095492284323968e-09,1.077477967402553e-08,1.1642619408795148e-08,1.71595116413466e-08,0.14362572408297503,0.1941326574534244,2.749675483396836,1.7407065952152827,2.458546693894667,0.61893117534229,69.2,0.8366600265340756,0.554321439743697,0.736346568983751,0.027131506891643932,0.0727750557386727,-0.6577055695496268,0.5116579821431679,0.4335881143793959,0.046238369871570935,2.3496511917678943e+22,2.4678941849175694e+20,231839.3263315744,24484.424422738393,69.2,1.8584709933282786e-07,212378.93793088765,16656.251202668656,63.4,2.0287636208078816e-07,198975.30403656914,17641.87473012754,59.4,2.1654278413406127e-07,156778.97652339056,18492.713017770922,46.8,2.748242606595388e-07,128648.09151460486,13607.586074882956,38.4,3.3491881459515126e-07,91779.72522058722,14200.604311534718,27.4,4.69457346995142e-07,30918.452347676583,3200.233990004123,7.4,1.3935583135110518e-06
seed3_792at_LLZO110ct_vac1pfu,600.0,5,970.0,2.7723699993206138e-08,1.732542218593537e-08,2.65126963657355e-08,1.544930586025384e-08,3.014570724814743e-08,2.212019351067472e-08,0.3468100078697114,0.1385655124729087,5.822710691656161,2.4417972173533435,1.6136011913989399,0.3190493447392395,71.0,1.5811388300841898,2.0884106992556406,2.3197566637153813,-0.04578912051572307,0.2021612361893575,-1.159064596729578,0.6703563003656818,0.7197744087021487,0.1495242866833019,2.3653158699006893e+22,3.200297589306496e+20,353087.27301475604,90734.41967329079,91.2,1.4643405051260292e-07,321346.1305787543,82006.85261740221,83.0,1.6089815514155874e-07,273319.72541540605,68799.61928392597,70.6,1.8917039190427065e-07,196666.34305254841,44348.671850602754,50.8,2.629021253432516e-07,133148.6900347585,31711.485492682637,34.4,3.8831774881527303e-07,83640.35956296034,24125.768736251874,21.6,6.181704603156301e-07,nan,nan,0.0,inf
