structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres10_mean,j0_tres10_std,jumps_tres10_mean,Rct_tres10_mean,j0_tres20_mean,j0_tres20_std,jumps_tres20_mean,Rct_tres20_mean,j0_tres50_mean,j0_tres50_std,jumps_tres50_mean,Rct_tres50_mean,j0_tres100_mean,j0_tres100_std,jumps_tres100_mean,Rct_tres100_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres500_mean,j0_tres500_std,jumps_tres500_mean,Rct_tres500_mean,j0_tres1000_mean,j0_tres1000_std,jumps_tres1000_mean,Rct_tres1000_mean
seed1_420at_Li100_LLZO110_vac1pfu,500.0,5,3094.0,1.0802127758118543e-08,1.0684706222479508e-08,9.460746932311701e-09,1.0153412393889718e-08,1.3484889409732239e-08,1.201146017851148e-08,0.18861891467878983,0.14126950270060104,1.4068666093476032,0.6749495509006986,3.3123550799281367,0.7005592411873041,31.0,0.7071067811865476,0.8802485026395601,0.47202408408976976,0.016083980331898264,0.0184758154739225,-0.36683594133125275,0.3489394898646062,0.9405414005321606,0.7866463433063385,2.6124807049957178e+22,6.283061172597537e+20,93829.70843495804,29983.720086950754,41.6,4.5920068418274273e-07,91126.60515779904,30995.78214131878,40.4,4.728220285984443e-07,87516.43643466788,30529.587210484257,38.8,4.923265624756641e-07,79844.07402048264,31588.287762101896,35.4,5.396351180545578e-07,65852.40858575478,23881.020886951617,29.2,6.542914258616887e-07,51868.28192634251,15323.16634847341,23.0,8.306939175503601e-07,36082.08641549091,7083.47837782787,16.0,1.1941290149868346e-06,23003.51744698766,5125.579729036787,10.2,1.8730468681276505e-06
seed1_420at_Li100_LLZO110_vac1pfu,600.0,5,2954.0,4.2680174503553005e-08,2.3673927567642274e-08,4.1647541979573506e-08,2.416562899413854e-08,4.4745439551512005e-08,2.4259542666192002e-08,0.41746491018540777,0.1516977645964632,3.562485881209077,1.4992472942157218,2.0939966336850673,0.5363119255589489,31.2,0.8366600265340756,1.052334343953125,1.0226496264017133,0.05120979571507169,0.056448281514924585,0.19350859001812779,0.8081836591761489,1.9401291374887972,1.5457365735323159,2.588462859762961e+22,4.295803997718298e+20,210577.85461631377,17026.407330701215,89.0,2.4553388895621515e-07,200646.91252426145,14525.41412834,84.8,2.5768649475604643e-07,187401.23143958053,14230.158879705445,79.2,2.7589999902785984e-07,159483.8146595534,15890.771383414041,67.4,3.241959046588608e-07,128729.22290475832,16987.2268614196,54.4,4.016492790471807e-07,97002.90950694996,11693.259688033695,41.0,5.330149356839196e-07,56786.64287431732,9584.543414854934,24.0,9.104957954009283e-07,31227.177690468197,6079.204581175604,13.2,1.6557371941999793e-06
seed1_420at_Li100_LLZO110_vac1pfu,700.0,5,2954.0,6.153026441510533e-08,2.8118051473439468e-08,6.235779259370758e-08,3.312653560077557e-08,5.987520805790082e-08,2.328061095942283e-08,0.483833964796922,0.11478377705154194,4.795839745969564,1.7405600401262058,1.7601318878017314,0.33179676123713636,30.8,1.3038404810405297,1.7412279958117067,1.2282465430065537,0.019029997922240326,0.12528802149722215,-0.022662775587541616,0.6485011918526239,2.1239664576809663,0.7442929092563828,2.538503016646906e+22,5.410684202195344e+20,488380.7267099833,43643.015679184995,206.4,1.2351292656522215e-07,461887.7051798922,31764.595390352337,195.2,1.3059739879957737e-07,419296.8933437896,31607.750844420185,177.2,1.4386305692120017e-07,336509.7272038047,36048.54090601413,142.2,1.7925583707560054e-07,252264.97859929985,26784.124719048777,106.6,2.3911893426084717e-07,155240.49740287042,12488.08683326176,65.6,3.8856699020654293e-07,61046.55373829217,5853.012742279329,25.8,9.88120199095903e-07,26975.56363013929,4309.682408958603,11.4,2.236147265023375e-06
seed1_420at_Li100_LLZO110_vac1pfu,800.0,5,2954.0,2.600901624785834e-07,1.3600138929247366e-07,2.942629555346861e-07,1.9753749164362035e-07,1.9174457636637788e-07,4.8051569810382166e-08,0.7474399457000751,0.10635843519040933,16.365964399416974,7.428556720714153,0.9643144055512151,0.1889885253513867,30.0,1.224744871391589,5.9779660326811195,1.0475261814734134,-0.0492213202916955,0.3221532340639811,1.2799379295573055,0.40041978024264363,2.5722343361102755,0.3597357457999015,2.5346049883058647e+22,5.987256948328004e+20,862282.8204574861,95031.65137573749,364.4,7.994901957970638e-08,776144.4093888304,70721.83837187992,328.0,8.882195795275427e-08,674860.0173284262,57098.522235741104,285.2,1.0215254175067008e-07,487894.86588847666,34568.989270034486,206.2,1.412981995013615e-07,291978.7908031339,31675.681032952,123.4,2.3610847180500087e-07,157578.53667029823,17437.36147431069,66.6,4.374876652157296e-07,68597.97254468697,15849.731304561195,29.0,1.004966525083392e-06,34536.93860090924,7720.741354375997,14.6,1.996085029209424e-06
seed2_536at_LLZO100ct_vac0p5pfu,500.0,5,3100.0,2.077198041911625e-10,4.790624735248202e-10,1.1370692345025926e-10,3.0685712118862706e-10,3.957455656729628e-10,8.234849759959296e-10,0.007939824551448,0.018422289706120358,0.9538264148792533,0.13243117522771355,3.8091903329832872,0.2502442740740032,44.6,3.0495901363953815,0.7700001474773883,0.6986657908453324,-0.10248701483878023,0.17750238712656674,-0.07797334312566802,0.37794290356655275,0.39275262188362153,0.07107746613132992,2.4246148086820556e+22,1.2189714102687616e+21,122925.9699277133,32464.895429366694,77.4,3.5050906114742996e-07,116573.84831942506,33392.891447593545,73.4,3.696083378146515e-07,109266.00240860216,32963.758711571485,68.8,3.943282023705475e-07,92754.71322529486,24449.595746901305,58.4,4.645226621028457e-07,79100.02945398635,24099.704557176618,49.8,5.447111285219451e-07,64169.637613217594,18835.978488570396,40.4,6.71449425500964e-07,34630.95119772668,10879.202349065516,21.8,1.244166412409382e-06,22872.921537640214,4153.843906824534,14.4,1.883741271926963e-06
seed2_536at_LLZO100ct_vac0p5pfu,600.0,5,2960.0,4.955579334243073e-09,3.196594974379773e-09,5.464104604401445e-09,4.38584633714733e-09,3.938528793926327e-09,3.6263110454170095e-09,0.10801086035676062,0.06689231049398031,1.5243900036724993,0.26458724553194835,3.0264536638907114,0.28341058192015234,43.4,1.51657508881031,0.9638994181085989,0.6293810987222173,-0.02522366851575287,0.15115524683487291,-1.107062863460812,0.8673143304514755,0.4645683438301254,0.014162451144090338,2.3909394419607778e+22,8.896608879042412e+20,189594.36332131637,24303.015814713013,113.8,2.7270852712205524e-07,180591.4498511602,25639.70901700999,108.4,2.8630369607538665e-07,169266.0739671417,26919.2846720906,101.6,3.0545990912530346e-07,141955.28322871885,19985.197338774775,85.2,3.6422737073261543e-07,111629.56981727453,9714.10265227086,67.0,4.63174763251653e-07,84644.0819339772,10112.292634907983,50.8,6.108401011700899e-07,53649.16079054492,6308.398751012258,32.2,9.637429329763582e-07,31322.549251274868,7947.852328257693,18.8,1.6506957705524426e-06
seed2_536at_LLZO100ct_vac0p5pfu,700.0,5,2960.0,2.4240972382849415e-08,8.386679361103783e-09,2.415183786727855e-08,9.596604029443032e-09,2.441924141399116e-08,8.125518290952824e-09,0.3107111924267034,0.06903356572795993,3.508289264066817,0.9335625804323965,2.0248928802648534,0.3074115308910157,43.8,2.7748873851023212,0.2653893463939121,1.2773213573135374,0.18249972436062686,0.26575407954075414,-0.5505397486504134,0.8635566383481862,0.6202451629245107,0.054667719401350234,2.398082401699336e+22,1.4759038289756212e+21,496476.33389648236,61857.97310869585,298.0,1.2149890884139762e-07,461825.18538064614,50472.96382877821,277.2,1.3061507848317512e-07,405854.7248025974,35553.393994096084,243.6,1.4862789354821365e-07,304234.20530617813,32182.02814968862,182.6,1.982726852600063e-07,225925.50692527386,23797.482609905193,135.6,2.669965585335684e-07,149942.7588373075,13059.8219922834,90.0,4.022957380652873e-07,75638.84321110386,14614.116015799262,45.4,7.974914775685619e-07,36327.655724881784,7974.470736923562,21.8,1.660479643686017e-06
seed2_536at_LLZO100ct_vac0p5pfu,800.0,5,2958.0,1.2017501867301658e-07,3.1634944942341035e-08,1.2948619356233838e-07,3.573504999097733e-08,1.0155266889437307e-07,2.736122074130053e-08,0.6134918968995006,0.07213261568399099,11.169393378621741,2.3417917107820205,1.122984040325314,0.1265968222681273,40.6,2.1908902300206647,1.629430904558705,1.0299601081779988,-0.0859974342661042,0.13666342112776725,-0.2910529967700767,0.7283304284607389,0.7894137713235676,0.10958301887818107,2.4530220498901914e+22,7.253828771769292e+20,966646.1537030672,119913.74061071669,579.8,7.13173748552218e-08,850608.6023099428,128696.00822749436,510.2,8.104628369474246e-08,705895.1043081728,103438.01936096387,423.4,9.76613461054738e-08,477154.41391827835,68369.68489195772,286.2,1.4447873494429633e-07,308766.587902394,42068.472305988755,185.2,2.2327113359102377e-07,182058.9168409364,24542.49842862211,109.2,3.7866129982653483e-07,70689.5428027079,9905.506080235065,42.4,9.752314608740001e-07,25341.534212291514,9162.052745899773,15.2,2.720382496122211e-06
seed3_792at_LLZO110ct_vac1pfu,500.0,5,3106.0,5.7894336954689386e-09,1.9412139764153228e-09,5.27168477436819e-09,1.8521477376954243e-09,6.824931537670429e-09,2.5270810515657986e-09,0.1414824300397826,0.04304961455704845,2.3475101377656107,0.2365182169209928,2.4228385995141526,0.130561532332883,69.2,0.8366600265340756,1.0183682590464653,0.6806802223594182,-0.028552462803651583,0.08920606833200793,-0.8662720369840459,0.4352669458331536,0.4668996617002576,0.06608358205576777,2.3496511917678943e+22,2.4678941849175694e+20,237436.24439251245,49473.5100877195,211.8,1.8146625600585323e-07,225999.96544023586,47351.688924280905,201.6,1.906489951273642e-07,203355.16469844565,41440.4552322156,181.4,2.118788887112506e-07,164114.87714814435,29477.2250391377,146.4,2.625396737865893e-07,131600.44990633722,21778.762491430138,117.4,3.2740515963787114e-07,92805.96262934417,11066.135504683074,82.8,4.642661429210422e-07,44607.82446486359,6486.003869282837,39.8,9.658992974189593e-07,23310.138595215732,4420.156685602488,20.8,1.8484088429591442e-06
seed3_792at_LLZO110ct_vac1pfu,600.0,5,2970.0,1.3560029593586855e-08,1.0906967155487567e-08,1.232583931610226e-08,8.745934785028602e-09,1.6028410148556054e-08,1.5253197738699046e-08,0.21905911643591636,0.13184774986582223,3.775898114967603,1.454559454637034,1.9822329526895714,0.34500778334915005,71.0,1.5811388300841898,2.5628899369898916,3.8489508398415238,-0.18819347710293405,0.389360962514725,-1.1174582576081429,0.43300089400474107,0.7973436341525438,0.14917893522708428,2.3653158699006893e+22,3.200297589306496e+20,347162.62339045247,127254.45992424538,295.8,1.489330823319903e-07,316888.3444131712,114541.17499282435,270.0,1.6316156931473107e-07,267130.63958525116,91133.48442760995,227.6,1.9355323542172467e-07,188270.98892852082,57428.95426553404,160.4,2.7462542086943625e-07,132394.6194201275,44868.41335298942,112.8,3.905294625903779e-07,84278.344277664,22116.53204634481,71.8,6.134909271788214e-07,37568.542358171035,5460.705154226423,32.0,1.3762578031126234e-06,20661.473715014472,4517.687000379737,17.6,2.5024352224414304e-06
