structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres1000_mean,j0_tres1000_std,jumps_tres1000_mean,Rct_tres1000_mean
seed1_420at_Li100_LLZO110_vac1pfu,500.0,5,3094.0,9.512520114513749e-09,9.871971215801545e-09,8.379377827630478e-09,9.227964251441962e-09,1.177880468828029e-08,1.1272779781714207e-08,0.3509178965719863,0.24057466619760623,2.8575937947414216,2.2956505888648073,2.664590210708004,1.0799403627274957,31.0,0.7071067811865476,0.8802485026395601,0.47202408408976976,0.016083980331898264,0.0184758154739225,-0.36683594133125275,0.3489394898646062,0.9405414005321606,0.7866463433063385,2.6124807049957178e+22,6.283061172597537e+20,93829.70843495804,29983.720086950754,41.6,4.5920068418274273e-07,51868.28192634251,15323.16634847341,23.0,8.306939175503601e-07,23003.51744698766,5125.579729036787,10.2,1.8730468681276505e-06
seed1_420at_Li100_LLZO110_vac1pfu,600.0,5,2954.0,4.240498640694732e-08,3.629240429016531e-08,4.2535471191795164e-08,3.7486070917443664e-08,4.214401683725165e-08,3.5211706395540514e-08,0.6362253258801076,0.24999389252485707,9.598390381723169,6.920283107092288,1.437987754580634,0.567895124079937,31.2,0.8366600265340756,1.052334343953125,1.0226496264017133,0.05120979571507169,0.056448281514924585,0.19350859001812779,0.8081836591761489,1.9401291374887972,1.5457365735323159,2.588462859762961e+22,4.295803997718298e+20,210577.85461631377,17026.407330701215,89.0,2.4553388895621515e-07,97002.90950694996,11693.259688033695,41.0,5.330149356839196e-07,31227.177690468197,6079.204581175604,13.2,1.6557371941999793e-06
seed1_420at_Li100_LLZO110_vac1pfu,700.0,5,2954.0,5.844182237787823e-08,3.795311447496655e-08,5.5788804239936695e-08,4.0934590083028635e-08,6.37478586537613e-08,3.70625834383765e-08,0.6952387946992815,0.20971618008407758,13.252263340242544,7.899393865511953,1.1651895919662443,0.4261284121711788,30.8,1.3038404810405297,1.7412279958117067,1.2282465430065537,0.019029997922240326,0.12528802149722215,-0.022662775587541616,0.6485011918526239,2.1239664576809663,0.7442929092563828,2.538503016646906e+22,5.410684202195344e+20,488380.7267099833,43643.015679184995,206.4,1.2351292656522215e-07,155240.49740287042,12488.08683326176,65.6,3.8856699020654293e-07,26975.56363013929,4309.682408958603,11.4,2.236147265023375e-06
seed1_420at_Li100_LLZO110_vac1pfu,800.0,5,2954.0,1.728692052833702e-07,3.4553895952762335e-08,1.729732134003903e-07,3.121271627524038e-08,1.7266118904933e-07,4.7889069335878446e-08,0.7806532664801935,0.06244366497622362,38.24503146224822,10.082080867841476,0.6107458704209366,0.07915313753049952,30.0,1.224744871391589,5.9779660326811195,1.0475261814734134,-0.0492213202916955,0.3221532340639811,1.2799379295573055,0.40041978024264363,2.5722343361102755,0.3597357457999015,2.5346049883058647e+22,5.987256948328004e+20,862282.8204574861,95031.65137573749,364.4,7.994901957970638e-08,157578.53667029823,17437.36147431069,66.6,4.374876652157296e-07,34536.93860090924,7720.741354375997,14.6,1.996085029209424e-06
seed2_536at_LLZO100ct_vac0p5pfu,500.0,5,3100.0,4.465508971079816e-11,9.043128402985987e-11,3.376388214686056e-11,6.091280654468687e-11,6.643750483867324e-11,1.5179027069207153e-10,0.00473192336574839,0.009693858324409135,0.965489200475895,0.14446834508819445,3.7894446235240196,0.26821127348829793,44.6,3.0495901363953815,0.7700001474773883,0.6986657908453324,-0.10248701483878023,0.17750238712656674,-0.07797334312566802,0.37794290356655275,0.39275262188362153,0.07107746613132992,2.4246148086820556e+22,1.2189714102687616e+21,122925.9699277133,32464.895429366694,77.4,3.5050906114742996e-07,64169.637613217594,18835.978488570396,40.4,6.71449425500964e-07,22872.921537640214,4153.843906824534,14.4,1.883741271926963e-06
seed2_536at_LLZO100ct_vac0p5pfu,600.0,5,2960.0,4.29834456664207e-09,2.9864655226004116e-09,4.673555328050915e-09,4.2140738392297015e-09,3.547923043824378e-09,4.454308530185557e-09,0.2456986753139904,0.15469362779769483,2.3689586402771594,0.8455502028663503,2.524106259492194,0.563032893376509,43.4,1.51657508881031,0.9638994181085989,0.6293810987222173,-0.02522366851575287,0.15115524683487291,-1.107062863460812,0.8673143304514755,0.4645683438301254,0.014162451144090338,2.3909394419607778e+22,8.896608879042412e+20,189594.36332131637,24303.015814713013,113.8,2.7270852712205524e-07,84644.0819339772,10112.292634907983,50.8,6.108401011700899e-07,31322.549251274868,7947.852328257693,18.8,1.6506957705524426e-06
seed2_536at_LLZO100ct_vac0p5pfu,700.0,5,2960.0,2.1592878633109235e-08,1.1065528144619763e-08,2.1310241645323096e-08,1.3323427649283304e-08,2.21581526086815e-08,8.244431404756602e-09,0.5482123300904982,0.12050826381979536,7.874907458672501,3.4206245232496943,1.4006590525547926,0.32457388346326094,43.8,2.7748873851023212,0.2653893463939121,1.2773213573135374,0.18249972436062686,0.26575407954075414,-0.5505397486504134,0.8635566383481862,0.6202451629245107,0.054667719401350234,2.398082401699336e+22,1.4759038289756212e+21,496476.33389648236,61857.97310869585,298.0,1.2149890884139762e-07,149942.7588373075,13059.8219922834,90.0,4.022957380652873e-07,36327.655724881784,7974.470736923562,21.8,1.660479643686017e-06
seed2_536at_LLZO100ct_vac0p5pfu,800.0,5,2958.0,1.0890844398788164e-07,3.665637538473543e-08,1.2040310999677892e-07,3.8873673417880594e-08,8.591911197008714e-08,3.8210120088957976e-08,0.7907728989658244,0.0841936377269664,31.155845838136553,9.122393222951134,0.6837949060254638,0.11847772936199875,40.6,2.1908902300206647,1.629430904558705,1.0299601081779988,-0.0859974342661042,0.13666342112776725,-0.2910529967700767,0.7283304284607389,0.7894137713235676,0.10958301887818107,2.4530220498901914e+22,7.253828771769292e+20,966646.1537030672,119913.74061071669,579.8,7.13173748552218e-08,182058.9168409364,24542.49842862211,109.2,3.7866129982653483e-07,25341.534212291514,9162.052745899773,15.2,2.720382496122211e-06
seed3_792at_LLZO110ct_vac1pfu,500.0,5,3106.0,4.603128122998496e-09,1.649505158342103e-09,4.223877442314856e-09,1.812798551826336e-09,5.361629484365773e-09,1.5218506138906706e-09,0.29056758610240685,0.07291008070066923,3.9480497902213214,0.8476588370166201,1.8878211903199709,0.20132788862234993,69.2,0.8366600265340756,1.0183682590464653,0.6806802223594182,-0.028552462803651583,0.08920606833200793,-0.8662720369840459,0.4352669458331536,0.4668996617002576,0.06608358205576777,2.3496511917678943e+22,2.4678941849175694e+20,237436.24439251245,49473.5100877195,211.8,1.8146625600585323e-07,92805.96262934417,11066.135504683074,82.8,4.642661429210422e-07,23310.138595215732,4420.156685602488,20.8,1.8484088429591442e-06
seed3_792at_LLZO110ct_vac1pfu,600.0,5,2970.0,1.3278467564453804e-08,1.357170026192569e-08,1.1696134479425357e-08,1.0618759628549365e-08,1.644313373451069e-08,1.972997232256029e-08,0.4237849750872121,0.23349459229344716,8.107324461112537,5.8687002076348485,1.486395126589604,0.4731490559083868,71.0,1.5811388300841898,2.5628899369898916,3.8489508398415238,-0.18819347710293405,0.389360962514725,-1.1174582576081429,0.43300089400474107,0.7973436341525438,0.14917893522708428,2.3653158699006893e+22,3.200297589306496e+20,347162.62339045247,127254.45992424538,295.8,1.489330823319903e-07,84278.344277664,22116.53204634481,71.8,6.134909271788214e-07,20661.473715014472,4517.687000379737,17.6,2.5024352224414304e-06
