structure,it6_set,pool_idx,pv,f_rmse_meV_A,e_mae_meV_atom
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r__vac1pfu_T1100K_0,fps31,50005,1.70015526,114.19498056929476,16.623097012906737
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r__vac1pfu_T1100K_100,fps31,50006,0.7990573294,84.03777128319832,13.861906642645359
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r__vac1pfu_T1100K_10200,fps31,50010,0.1051393097,65.70497844522328,1.6925330598221304
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r__vac1pfu_T1100K_17100,fps31,50086,0.1097697851,60.49378581137692,1.3541927563299965
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r__vac1pfu_T1100K_800,fps31,50484,0.2736514589,59.85150259682081,0.8965716079820519
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r__vac1pfu_T1100K_0,fps31,50506,0.7067385634,102.50587291722228,14.164605899367459
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r__vac1pfu_T1100K_100,fps31,50507,0.2169983235,122.47291656764416,8.062963687171717
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r__vac1pfu_T1100K_19400,fps31,50612,0.1678680068,61.03256765834754,6.012433612514066
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r__vac0p5pfu_T1100K_0,fps31,51508,0.2804610864,90.26956748461745,2.762462001422503
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r__vac1pfu_T1100K_0,fps31,52009,0.958900199,129.4470897760808,8.623327228385074
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r__vac1pfu_T1100K_100,fps31,52010,0.3774515664,99.43779672162943,9.731621064243791
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r__vac0p5pfu_T1100K_0,fps31,52510,0.276618464,116.9110109382449,0.7818410320406175
Li_111_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r__vac0p5pfu_T1100K_0,fps31,53512,0.4731201466,85.81416213562942,4.113822963213107
Li_111_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r__vac0p5pfu_T1100K_49000,fps31,53947,0.1102278942,62.38292403246139,0.8977164251794728
Li_LLZO_001_ct-Li5La1O8_opp-Li1La1Zr1O4_side-top_var01__vac1pfu_T1100K_0,fps31,54013,2.255767085,176.97702557218204,14.247688396966568
Li_LLZO_011_ct-Li2La1Zr2O4_opp-Li2La1O4_side-bottom_var01__vac0p5pfu_T1100K_0,fps31,54514,0.3693191086,116.12916459034344,12.72299410054565
Li_LLZO_011_ct-Li2La1Zr2O4_opp-Li2La1O4_side-bottom_var01__vac0p5pfu_T1100K_1200,fps31,54538,0.2275274488,79.5415594467825,12.24763291506694
Li_LLZO_011_ct-Li3Zr4O8_opp-Li3La1O5_side-top_var01__vac1pfu_T1100K_0,fps31,55516,1.890385064,160.24092569327098,22.591778819255428
Li_LLZO_011_ct-Li3Zr4O8_opp-Li3La1O5_side-top_var01__vac1pfu_T1100K_1800,fps31,55606,0.3367371896,77.85416400590469,6.239853940682456
Li_LLZO_011_ct-Li3Zr4O8_opp-Li3La1O5_side-top_var01__vac1pfu_T1100K_35500,fps31,55801,0.2497274382,108.37045685664135,2.9895658508200755
Li_LLZO_011_ct-Li5La2O9_opp-Li5La2O5_side-top_var01__vac0p5pfu_T1100K_0,fps31,56017,0.7660710362,151.2889200091383,9.465975232827063
Li_LLZO_100_ct-La1Zr1O4_opp-Li6La1O4_side-bottom_var01__vac1pfu_T1100K_100,fps31,57020,0.5186585454,111.06994510290218,7.002581317713272
Li_LLZO_100_ct-Li1La1Zr1O3_opp-Li4La1O6_side-bottom_var01__vac0p5pfu_T1100K_0,fps31,57520,0.5192985777,120.40730843329544,5.0242442515293835
Li_LLZO_100_ct-Li2La1O6_opp-Li2La1Zr1O3_side-bottom_var01__vac0p5pfu_T1100K_0,fps31,58021,2.630352086,184.56729182449342,24.363966328144045
Li_LLZO_100_ct-Li2La1O6_opp-Li2La1Zr1O3_side-bottom_var01__vac0p5pfu_T1100K_1400,fps31,58067,0.2884262372,73.02907733480421,2.644480151719841
Li_LLZO_100_ct-Li2La1Zr1O2_opp-Li2La1O6_side-bottom_var01__vac0p5pfu_T1100K_100,fps31,58523,0.1765949192,84.90614840980072,7.0344700640151725
